Fir	Las	Team	Pos	Height	Pts	Reb	Blk	Ast	Stl
LeBron	James	Lakers	SF	6'8"	27.4	8.5	.6	8.3	1.3
Jemerrio	Jones	Lakers	SF	6'5"	2.8	4.5	.5	1.3	1
Kyle	Kuzma	Lakers	PF	6'9"	18.7	5.5	.4	2.5	.6
JaVale	McGee	Lakers	C	7'0"	11.8	7.6	2	.7	.6
Mike	Muscala	Lakers	PF	6'1"	6.7	3.7	.6	1.2	.4
Rajon	Rondo	Lakers	PG	6'1"	9.2	5.3	.2	8	1.2
Lance	Stephenson	Lakers	SG	6'6"	7.2	3.2	.1	2.1	.6
Moritz	Wagner	Lakers	C	6'11"	4.7	2	.3	.6	.3
Johnathan	Williams	Lakers	PF	6'9"	6	3.7	.3	.5	.3
Deandre	Ayton	Suns	C	7'1"	16.3	10.3	.9	1.8	.9
Dragan	Bender	Suns	PF	7'1"	4.5	3.7	.5	1.1	.4
Devin	Booker	Suns	SG	6'6"	26.6	4.1	.2	6.8	.9
Mikal	Bridges	Suns	SF	6'7"	8.2	3.2	.5	2.1	1.6
Jamal	Crawford	Suns	SG	6'5"	6.9	1.2	.2	3.5	.5
Troy	Daniels	Suns	SG	6'4"	6.4	1.4	.1	.5	.5
Jawun	Evans	Suns	PG	6'0"	.9	1.7	0	1.4	.4
Jimmer	Fredette	Suns	PG	6'2"	5.5	1	0	.8	.8
Richaun	Holmes	Suns	PF	6'10"	8.2	4.7	1.1	.9	.6
Josh	Jackson	Suns	SF	6'8"	11.4	4.3	.7	2.3	.9
Tyler	Johnson	Suns	SG	6'4"	10.9	3	.5	2.9	.9
George	King	Suns	SF	6'6"	0	1	0	0	0
De'Anthony	Melton	Suns	PG	6'4"	4.8	2.6	.5	3.2	1.4
Elie	Okobo	Suns	PG	6'3"	5.5	1.8	.1	2.4	.6
Kelly	Oubre Jr.	Suns	SF	6'7"	15.2	4.7	.9	1.2	1.2
T.J.	Warren	Suns	SF	6'8"	18	4	.7	1.5	1.2
Marvin	Bagley	Kings	PF	6'1"	14.7	7.5	1	1	.5
Harrison	Barnes	Kings	SF	6'8"	16.3	4.7	.2	1.5	.7
Nemanja	Bjelica	Kings	PF	6'10"	9.5	5.9	.7	1.9	.7
Bogdan	Bogdanovic	Kings	SG	6'6"	14.1	3.5	.2	3.9	1
Corey	Brewer	Kings	SG	6'9"	5.2	2.5	.2	1.2	1
Alec	Burks	Kings	SG	6'6"	8.8	3.7	.3	2	.6
Willie	Cauley-Stein	Kings	C	7'0"	12	8.4	.6	2.4	1.2
Cody	Demps	Kings	SF	6'4"	0	0	0	0	0
Yogi	Ferrell	Kings	PG	6'0"	5.8	1.5	.1	1.9	.5
De'Aaron	Fox	Kings	PG	6'3"	17.2	3.8	.6	7.2	1.6
Wenyen	Gabriel	Kings	PF	6'9"	0	0	0	0	0
Harry	Giles	Kings	PF	6'10"	7	3.8	.4	1.5	.5
Buddy	Hield	Kings	SG	6'4"	20.9	5.1	.4	2.5	.7
BJ	Johnson	Kings	SF	6'7"	3.5	1.3	0	0	.3
Frank	Mason	Kings	PG	5'11"	4.9	1.1	.1	2.2	.4
Caleb	Swanigan	Kings	PF	6'9"	2	2.9	0	.4	.2
Troy	Williams	Kings	SF	6'7"	5.6	3	.4	.6	.5
Kostas	Antetokounmpo	Mavericks	PF	6'10"	1	.5	0	0	1
J.J.	Barea	Mavericks	PG	6'0"	10.9	2.5	0	5.6	.6
Ryan	Broekhoff	Mavericks	SG	6'7"	4	1.5	.1	.5	.1
Jalen	Brunson	Mavericks	PG	6'3"	9.3	2.3	.1	3.2	.5
Trey	Burke	Mavericks	PG	6'1"	10.9	1.7	.1	2.7	.6
Luka	Doncic	Mavericks	SF	6'7"	21.2	7.8	.3	6	1.1
Dorian	Finney-Smith	Mavericks	SF	6'8"	7.5	4.8	.4	1.2	.9
Tim	Hardaway Jr.	Mavericks	SG	6'6"	18.1	3.4	.1	2.4	.8
Devin	Harris	Mavericks	PG	6'3"	6.3	1.6	.2	1.8	.5
Justin	Jackson	Mavericks	SF	6'8"	7.2	2.6	.2	1.2	.4
Maxi	Kleber	Mavericks	PF	6'11"	6.8	4.6	1.1	1	.5
Courtney	Lee	Mavericks	SG	6'5"	4	1.6	.1	1.1	.6
Daryl	Macon	Mavericks	SG	6'3"	3.6	1.5	0	.9	.1
Salah	Mejri	Mavericks	C	7'2"	3.9	3.6	.7	1	.3
Dirk	Nowitzki	Mavericks	PF	7'0"	7.3	3.1	.4	.7	.2
Kristaps	Porzingis	Mavericks	PF	7'3"	0	0	0	0	0
Dwight	Powell	Mavericks	PF	6'11"	10.6	5.3	.6	1.5	.6
Clint	Capela	Rockets	C	6'10	16.6	12.7	1.5	1.4	.7
Chris	Chiozza	Rockets	PG	6'0"	.9	.6	.1	.6	.1
Gary	Clark	Rockets	PF	6'8"	2.9	2.3	.5	.4	.4
Kenneth	Faried	Rockets	PF	6'8"	10.4	6.8	.6	.5	.5
Michael	Frazier	Rockets	SG	6'4"	0	0	0	0	0
Eric	Gordon	Rockets	SG	6'4"	16.2	2.2	.4	1.9	.6
Gerald	Green	Rockets	SG	6'7"	9.2	2.5	.4	.5	.5
James	Harden	Rockets	SG	6'5"	36.1	6.6	.7	7.5	2
Isaiah	Hartenstein	Rockets	PF	7'0"	1.9	1.7	.4	.5	.3
Nene	Hilario	Rockets	C	6'11"	3.6	2.9	.4	.6	.4
Danuel	House Jr.	Rockets	SF	6'7"	9.4	3.6	.3	1	.5
Chris	Paul	Rockets	PG	6'0"	15.6	4.6	.3	8.2	2
Iman	Shumpert	Rockets	SG	6'5"	7.5	3	.4	1.8	1
PJ	Tucker	Rockets	SF	6'6"	7.3	5.8	.5	1.2	1.6
Kyle	Anderson	Grizzlies	SF	6'9"	8	5.8	.9	3	1.3
Avery	Bradley	Grizzlies	SG	6'2"	9.9	2.8	.3	2.4	.7
Dillon	Brooks	Grizzlies	SG	6'6"	7.5	1.7	.2	.9	.6
Bruno	Cabocio	Grizzlies	SF	6'9"	8.3	4.6	1	1.5	.4
Jevon	Carter	Grizzlies	PG	6'2"	4.4	1.7	.3	1.8	.7
Mike	Conley	Grizzlies	PG	6'1"	21.1	3.4	.3	6.4	1.3
